Vehicle_ID,vehicle_model,Brand,Model,Variant,fuel_type,engine_size,Engine,Manufacturing_Year
VEH0130,Truck,Tata,407 Gold,SFC,Diesel,2500,2494cc Diesel Engine,2020
VEH0131,Truck,Mahindra,Furio,7,Electric,800,Electric Motor - 25 kWh Battery,2015
VEH0132,Truck,Tata,Prima,LX 2830.K,Electric,800,Electric Motor - 25 kWh Battery,2024
VEH0133,Truck,BharatBenz,1015R,Rigid Truck,Electric,1000,Electric Motor - 35 kWh Battery,2020
VEH0134,Truck,Ashok Leyland,Dost+,LS,Electric,1000,Electric Motor - 35 kWh Battery,2017
VEH0135,Truck,Ashok Leyland,Boss,1215,Electric,1500,Electric Motor - 45 kWh Battery,2020
VEH0136,Truck,Tata,Prima,LX 2830.K,Electric,1500,Electric Motor - 45 kWh Battery,2014
VEH0137,Truck,Tata,407 Gold,SFC,Electric,2000,Electric Motor - 60 kWh Battery,2024
VEH0138,Truck,Ashok Leyland,Dost+,LS,Electric,2000,Electric Motor - 60 kWh Battery,2019
VEH0139,Truck,Ashok Leyland,Dost+,LS,Electric,2500,Electric Motor - 75 kWh Battery,2022
VEH0140,Truck,Tata,Ace Gold,CX,Electric,2500,Electric Motor - 75 kWh Battery,2014
VEH0141,Truck,Tata,Prima,LX 2830.K,Petrol,800,796cc Petrol Engine,2019
VEH0142,Truck,Mahindra,Bolero Pickup,FB,Petrol,800,796cc Petrol Engine,2019
VEH0143,Truck,Ashok Leyland,Dost+,LS,Petrol,1000,998cc Petrol Engine,2024
VEH0144,Truck,Tata,407 Gold,SFC,Petrol,1000,998cc Petrol Engine,2020
VEH0145,Truck,Ashok Leyland,Boss,1215,Petrol,1500,1497cc Petrol Engine,2019
VEH0146,Truck,Mahindra,Furio,7,Petrol,1500,1497cc Petrol Engine,2016
VEH0147,Truck,BharatBenz,1015R,Rigid Truck,Petrol,2000,1998cc Petrol Turbo,2017
VEH0148,Truck,Ashok Leyland,Boss,1215,Petrol,2000,1998cc Petrol Turbo,2019
VEH0149,Truck,Mahindra,Furio,7,Petrol,2500,2494cc Petrol Engine,2018
VEH0150,Truck,Tata,Prima,LX 2830.K,Petrol,2500,2494cc Petrol Engine,2014
VEH0151,Van,Maruti Suzuki,Omni,Cargo,Diesel,800,793cc Diesel Engine,2023
VEH0152,Van,Maruti Suzuki,Eeco,5-Seater,Diesel,800,793cc Diesel Engine,2023
VEH0153,Van,Tata,Winger,Staff,Diesel,1000,1120cc Diesel Engine,2015
VEH0154,Van,Maruti Suzuki,Omni,Cargo,Diesel,1000,1120cc Diesel Engine,2020
VEH0155,Van,Maruti Suzuki,Omni,Cargo,Diesel,1500,1498cc Diesel Engine,2015
VEH0156,Van,Force Motors,Traveller,3350,Diesel,1500,1498cc Diesel Engine,2021
VEH0157,Van,Maruti Suzuki,Eeco,5-Seater,Diesel,2000,1993cc Diesel Turbo,2017
VEH0158,Van,Maruti Suzuki,Omni,Cargo,Diesel,2000,1993cc Diesel Turbo,2021
VEH0159,Van,Force Motors,Traveller,3350,Diesel,2500,2494cc Diesel Engine,2021
VEH0160,Van,Mahindra,Supro,Van,Diesel,2500,2494cc Diesel Engine,2022
VEH0161,Van,Maruti Suzuki,Omni,Cargo,Electric,800,Electric Motor - 25 kWh Battery,2015
VEH0162,Van,Force Motors,Traveller,3350,Electric,800,Electric Motor - 25 kWh Battery,2024
VEH0163,Van,Mahindra,Supro,Van,Electric,1000,Electric Motor - 35 kWh Battery,2016
VEH0164,Van,Maruti Suzuki,Omni,Cargo,Electric,1000,Electric Motor - 35 kWh Battery,2014
VEH0165,Van,Maruti Suzuki,Eeco,5-Seater,Electric,1500,Electric Motor - 45 kWh Battery,2020
VEH0166,Van,Tata,Winger,Staff,Electric,1500,Electric Motor - 45 kWh Battery,2018
VEH0167,Van,Maruti Suzuki,Omni,Cargo,Electric,2000,Electric Motor - 60 kWh Battery,2023
VEH0168,Van,Tata,Winger,Staff,Electric,2000,Electric Motor - 60 kWh Battery,2022
VEH0169,Van,Mahindra,Supro,Van,Electric,2500,Electric Motor - 75 kWh Battery,2017
VEH0170,Van,Maruti Suzuki,Omni,Cargo,Electric,2500,Electric Motor - 75 kWh Battery,2024
VEH0171,Van,Force Motors,Traveller,3350,Petrol,800,796cc Petrol Engine,2017
VEH0172,Van,Force Motors,Traveller,3350,Petrol,800,796cc Petrol Engine,2019
VEH0173,Van,Mahindra,Supro,Van,Petrol,1000,998cc Petrol Engine,2016
VEH0174,Van,Mahindra,Supro,Van,Petrol,1000,998cc Petrol Engine,2024
VEH0175,Van,Maruti Suzuki,Eeco,5-Seater,Petrol,1500,1497cc Petrol Engine,2015
VEH0176,Van,Tata,Winger,Staff,Petrol,1500,1497cc Petrol Engine,2014
VEH0177,Van,Maruti Suzuki,Omni,Cargo,Petrol,2000,1998cc Petrol Turbo,2018
VEH0178,Van,Mahindra,Supro,Van,Petrol,2000,1998cc Petrol Turbo,2024
VEH0179,Van,Maruti Suzuki,Eeco,5-Seater,Petrol,2500,2494cc Petrol Engine,2023
VEH0180,Van,Maruti Suzuki,Eeco,5-Seater,Petrol,2500,2494cc Petrol Engine,2022
