complaint_id,complaint_text,fault_name,obd_code,fault_category
C047,My car has coolant and water pump when I start the car.,Engine Overheating,P0217,Engine Cooling
C048,Experiencing coolant and gauge red on the highway.,Engine Overheating,P0217,Engine Cooling
C049,Noticed that coolant and hissing in the morning.,Engine Overheating,P0217,Engine Cooling
C050,The mechanic said coolant and smoking hood recently.,Engine Overheating,P0217,Engine Cooling
C051,Dashboard shows coolant and cooling fan and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C052,Warning light for coolant and temp needle high which is dangerous.,Engine Overheating,P0217,Engine Cooling
C053,Lately my vehicle has radiator and overheat every time I drive.,Engine Overheating,P0217,Engine Cooling
C054,There is an issue with radiator and hot,Engine Overheating,P0217,Engine Cooling
C055,I am worried about radiator and temperature after it rains.,Engine Overheating,P0217,Engine Cooling
C056,Seems like radiator and coolant during long trips.,Engine Overheating,P0217,Engine Cooling
C057,Hearing some noises regarding radiator and steam at low speeds.,Engine Overheating,P0217,Engine Cooling
C058,Just started noticing radiator and boil when braking.,Engine Overheating,P0217,Engine Cooling
C059,Driving feels bad due to radiator and thermostat when accelerating.,Engine Overheating,P0217,Engine Cooling
C060,Can someone check the radiator and water pump in cold weather.,Engine Overheating,P0217,Engine Cooling
C061,I have a problem with radiator and gauge red while driving.,Engine Overheating,P0217,Engine Cooling
C062,My car has radiator and hissing when I start the car.,Engine Overheating,P0217,Engine Cooling
C063,Experiencing radiator and smoking hood on the highway.,Engine Overheating,P0217,Engine Cooling
C064,Noticed that radiator and cooling fan in the morning.,Engine Overheating,P0217,Engine Cooling
C065,The mechanic said radiator and temp needle high recently.,Engine Overheating,P0217,Engine Cooling
C066,Dashboard shows steam and overheat and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C067,Warning light for steam and hot which is dangerous.,Engine Overheating,P0217,Engine Cooling
C068,Lately my vehicle has steam and temperature every time I drive.,Engine Overheating,P0217,Engine Cooling
C069,There is an issue with steam and coolant,Engine Overheating,P0217,Engine Cooling
C070,I am worried about steam and radiator after it rains.,Engine Overheating,P0217,Engine Cooling
C071,Seems like steam and boil during long trips.,Engine Overheating,P0217,Engine Cooling
C072,Hearing some noises regarding steam and thermostat at low speeds.,Engine Overheating,P0217,Engine Cooling
C073,Just started noticing steam and water pump when braking.,Engine Overheating,P0217,Engine Cooling
C074,Driving feels bad due to steam and gauge red when accelerating.,Engine Overheating,P0217,Engine Cooling
C075,Can someone check the steam and hissing in cold weather.,Engine Overheating,P0217,Engine Cooling
C076,I have a problem with steam and smoking hood while driving.,Engine Overheating,P0217,Engine Cooling
C077,My car has steam and cooling fan when I start the car.,Engine Overheating,P0217,Engine Cooling
C078,Experiencing steam and temp needle high on the highway.,Engine Overheating,P0217,Engine Cooling
C079,Noticed that boil and overheat in the morning.,Engine Overheating,P0217,Engine Cooling
C080,The mechanic said boil and hot recently.,Engine Overheating,P0217,Engine Cooling
C081,Dashboard shows boil and temperature and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C082,Warning light for boil and coolant which is dangerous.,Engine Overheating,P0217,Engine Cooling
C083,Lately my vehicle has boil and radiator every time I drive.,Engine Overheating,P0217,Engine Cooling
C084,There is an issue with boil and steam,Engine Overheating,P0217,Engine Cooling
C085,I am worried about boil and thermostat after it rains.,Engine Overheating,P0217,Engine Cooling
C086,Seems like boil and water pump during long trips.,Engine Overheating,P0217,Engine Cooling
C087,Hearing some noises regarding boil and gauge red at low speeds.,Engine Overheating,P0217,Engine Cooling
C088,Just started noticing boil and hissing when braking.,Engine Overheating,P0217,Engine Cooling
C089,Driving feels bad due to boil and smoking hood when accelerating.,Engine Overheating,P0217,Engine Cooling
C090,Can someone check the boil and cooling fan in cold weather.,Engine Overheating,P0217,Engine Cooling
C091,I have a problem with boil and temp needle high while driving.,Engine Overheating,P0217,Engine Cooling
C092,My car has thermostat and overheat when I start the car.,Engine Overheating,P0217,Engine Cooling
C093,Experiencing thermostat and hot on the highway.,Engine Overheating,P0217,Engine Cooling
C094,Noticed that thermostat and temperature in the morning.,Engine Overheating,P0217,Engine Cooling
C095,The mechanic said thermostat and coolant recently.,Engine Overheating,P0217,Engine Cooling
C096,Dashboard shows thermostat and radiator and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C097,Warning light for thermostat and steam which is dangerous.,Engine Overheating,P0217,Engine Cooling
C098,Lately my vehicle has thermostat and boil every time I drive.,Engine Overheating,P0217,Engine Cooling
C099,There is an issue with thermostat and water pump,Engine Overheating,P0217,Engine Cooling
C100,I am worried about thermostat and gauge red after it rains.,Engine Overheating,P0217,Engine Cooling
C101,Seems like thermostat and hissing during long trips.,Engine Overheating,P0217,Engine Cooling
C102,Hearing some noises regarding thermostat and smoking hood at low speeds.,Engine Overheating,P0217,Engine Cooling
C103,Just started noticing thermostat and cooling fan when braking.,Engine Overheating,P0217,Engine Cooling
C104,Driving feels bad due to thermostat and temp needle high when accelerating.,Engine Overheating,P0217,Engine Cooling
C105,Can someone check the water pump and overheat in cold weather.,Engine Overheating,P0217,Engine Cooling
C106,I have a problem with water pump and hot while driving.,Engine Overheating,P0217,Engine Cooling
C107,My car has water pump and temperature when I start the car.,Engine Overheating,P0217,Engine Cooling
C108,Experiencing water pump and coolant on the highway.,Engine Overheating,P0217,Engine Cooling
C109,Noticed that water pump and radiator in the morning.,Engine Overheating,P0217,Engine Cooling
C110,The mechanic said water pump and steam recently.,Engine Overheating,P0217,Engine Cooling
C111,Dashboard shows water pump and boil and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C112,Warning light for water pump and thermostat which is dangerous.,Engine Overheating,P0217,Engine Cooling
C113,Lately my vehicle has water pump and gauge red every time I drive.,Engine Overheating,P0217,Engine Cooling
C114,There is an issue with water pump and hissing,Engine Overheating,P0217,Engine Cooling
C115,I am worried about water pump and smoking hood after it rains.,Engine Overheating,P0217,Engine Cooling
C116,Seems like water pump and cooling fan during long trips.,Engine Overheating,P0217,Engine Cooling
C117,Hearing some noises regarding water pump and temp needle high at low speeds.,Engine Overheating,P0217,Engine Cooling
C118,Just started noticing gauge red and overheat when braking.,Engine Overheating,P0217,Engine Cooling
C119,Driving feels bad due to gauge red and hot when accelerating.,Engine Overheating,P0217,Engine Cooling
C120,Can someone check the gauge red and temperature in cold weather.,Engine Overheating,P0217,Engine Cooling
C121,I have a problem with gauge red and coolant while driving.,Engine Overheating,P0217,Engine Cooling
C122,My car has gauge red and radiator when I start the car.,Engine Overheating,P0217,Engine Cooling
C123,Experiencing gauge red and steam on the highway.,Engine Overheating,P0217,Engine Cooling
C124,Noticed that gauge red and boil in the morning.,Engine Overheating,P0217,Engine Cooling
C125,The mechanic said gauge red and thermostat recently.,Engine Overheating,P0217,Engine Cooling
C126,Dashboard shows gauge red and water pump and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C127,Warning light for gauge red and hissing which is dangerous.,Engine Overheating,P0217,Engine Cooling
C128,Lately my vehicle has gauge red and smoking hood every time I drive.,Engine Overheating,P0217,Engine Cooling
C129,There is an issue with gauge red and cooling fan,Engine Overheating,P0217,Engine Cooling
C130,I am worried about gauge red and temp needle high after it rains.,Engine Overheating,P0217,Engine Cooling
C131,Seems like hissing and overheat during long trips.,Engine Overheating,P0217,Engine Cooling
C132,Hearing some noises regarding hissing and hot at low speeds.,Engine Overheating,P0217,Engine Cooling
C133,Just started noticing hissing and temperature when braking.,Engine Overheating,P0217,Engine Cooling
C134,Driving feels bad due to hissing and coolant when accelerating.,Engine Overheating,P0217,Engine Cooling
C135,Can someone check the hissing and radiator in cold weather.,Engine Overheating,P0217,Engine Cooling
C136,I have a problem with hissing and steam while driving.,Engine Overheating,P0217,Engine Cooling
C137,My car has hissing and boil when I start the car.,Engine Overheating,P0217,Engine Cooling
C138,Experiencing hissing and thermostat on the highway.,Engine Overheating,P0217,Engine Cooling
C139,Noticed that hissing and water pump in the morning.,Engine Overheating,P0217,Engine Cooling
C140,The mechanic said hissing and gauge red recently.,Engine Overheating,P0217,Engine Cooling
C141,Dashboard shows hissing and smoking hood and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C142,Warning light for hissing and cooling fan which is dangerous.,Engine Overheating,P0217,Engine Cooling
C143,Lately my vehicle has hissing and temp needle high every time I drive.,Engine Overheating,P0217,Engine Cooling
C144,There is an issue with smoking hood and overheat,Engine Overheating,P0217,Engine Cooling
C145,I am worried about smoking hood and hot after it rains.,Engine Overheating,P0217,Engine Cooling
C146,Seems like smoking hood and temperature during long trips.,Engine Overheating,P0217,Engine Cooling
C147,Hearing some noises regarding smoking hood and coolant at low speeds.,Engine Overheating,P0217,Engine Cooling
C148,Just started noticing smoking hood and radiator when braking.,Engine Overheating,P0217,Engine Cooling
C149,Driving feels bad due to smoking hood and steam when accelerating.,Engine Overheating,P0217,Engine Cooling
C150,Can someone check the smoking hood and boil in cold weather.,Engine Overheating,P0217,Engine Cooling
C151,I have a problem with smoking hood and thermostat while driving.,Engine Overheating,P0217,Engine Cooling
C152,My car has smoking hood and water pump when I start the car.,Engine Overheating,P0217,Engine Cooling
C153,Experiencing smoking hood and gauge red on the highway.,Engine Overheating,P0217,Engine Cooling
C154,Noticed that smoking hood and hissing in the morning.,Engine Overheating,P0217,Engine Cooling
C155,The mechanic said smoking hood and cooling fan recently.,Engine Overheating,P0217,Engine Cooling
C156,Dashboard shows smoking hood and temp needle high and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C157,Warning light for cooling fan and overheat which is dangerous.,Engine Overheating,P0217,Engine Cooling
C158,Lately my vehicle has cooling fan and hot every time I drive.,Engine Overheating,P0217,Engine Cooling
C159,There is an issue with cooling fan and temperature,Engine Overheating,P0217,Engine Cooling
C160,I am worried about cooling fan and coolant after it rains.,Engine Overheating,P0217,Engine Cooling
C161,Seems like cooling fan and radiator during long trips.,Engine Overheating,P0217,Engine Cooling
C162,Hearing some noises regarding cooling fan and steam at low speeds.,Engine Overheating,P0217,Engine Cooling
C163,Just started noticing cooling fan and boil when braking.,Engine Overheating,P0217,Engine Cooling
C164,Driving feels bad due to cooling fan and thermostat when accelerating.,Engine Overheating,P0217,Engine Cooling
C165,Can someone check the cooling fan and water pump in cold weather.,Engine Overheating,P0217,Engine Cooling
C166,I have a problem with cooling fan and gauge red while driving.,Engine Overheating,P0217,Engine Cooling
C167,My car has cooling fan and hissing when I start the car.,Engine Overheating,P0217,Engine Cooling
C168,Experiencing cooling fan and smoking hood on the highway.,Engine Overheating,P0217,Engine Cooling
C169,Noticed that cooling fan and temp needle high in the morning.,Engine Overheating,P0217,Engine Cooling
C170,The mechanic said temp needle high and overheat recently.,Engine Overheating,P0217,Engine Cooling
C171,Dashboard shows temp needle high and hot and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C172,Warning light for temp needle high and temperature which is dangerous.,Engine Overheating,P0217,Engine Cooling
C173,Lately my vehicle has temp needle high and coolant every time I drive.,Engine Overheating,P0217,Engine Cooling
C174,There is an issue with temp needle high and radiator,Engine Overheating,P0217,Engine Cooling
C175,I am worried about temp needle high and steam after it rains.,Engine Overheating,P0217,Engine Cooling
C176,Seems like temp needle high and boil during long trips.,Engine Overheating,P0217,Engine Cooling
C177,Hearing some noises regarding temp needle high and thermostat at low speeds.,Engine Overheating,P0217,Engine Cooling
C178,Just started noticing temp needle high and water pump when braking.,Engine Overheating,P0217,Engine Cooling
C179,Driving feels bad due to temp needle high and gauge red when accelerating.,Engine Overheating,P0217,Engine Cooling
C180,Can someone check the temp needle high and hissing in cold weather.,Engine Overheating,P0217,Engine Cooling
C181,I have a problem with temp needle high and smoking hood while driving.,Engine Overheating,P0217,Engine Cooling
C182,My car has temp needle high and cooling fan when I start the car.,Engine Overheating,P0217,Engine Cooling
C183,I have a problem with battery and alternator while driving.,Battery and Charging Fault,P0620,Electrical
C184,My car has battery and charge when I start the car.,Battery and Charging Fault,P0620,Electrical
C185,Experiencing battery and dead on the highway.,Battery and Charging Fault,P0620,Electrical
C186,Noticed that battery and crank in the morning.,Battery and Charging Fault,P0620,Electrical
C187,The mechanic said battery and jump start recently.,Battery and Charging Fault,P0620,Electrical
C188,Dashboard shows battery and terminals and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C189,Warning light for battery and voltage which is dangerous.,Battery and Charging Fault,P0620,Electrical
C190,Lately my vehicle has battery and electrical every time I drive.,Battery and Charging Fault,P0620,Electrical
C191,There is an issue with battery and dim lights,Battery and Charging Fault,P0620,Electrical
C192,I am worried about battery and wont start after it rains.,Battery and Charging Fault,P0620,Electrical
C193,Seems like battery and clicking noise during long trips.,Battery and Charging Fault,P0620,Electrical
C194,Hearing some noises regarding battery and power loss electrical at low speeds.,Battery and Charging Fault,P0620,Electrical
C195,Just started noticing battery and battery light when braking.,Battery and Charging Fault,P0620,Electrical
C196,Driving feels bad due to alternator and battery when accelerating.,Battery and Charging Fault,P0620,Electrical
C197,Can someone check the alternator and charge in cold weather.,Battery and Charging Fault,P0620,Electrical
C198,I have a problem with alternator and dead while driving.,Battery and Charging Fault,P0620,Electrical
C199,My car has alternator and crank when I start the car.,Battery and Charging Fault,P0620,Electrical
C200,Experiencing alternator and jump start on the highway.,Battery and Charging Fault,P0620,Electrical
C201,Noticed that alternator and terminals in the morning.,Battery and Charging Fault,P0620,Electrical
C202,The mechanic said alternator and voltage recently.,Battery and Charging Fault,P0620,Electrical
C203,Dashboard shows alternator and electrical and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C204,Warning light for alternator and dim lights which is dangerous.,Battery and Charging Fault,P0620,Electrical
C205,Lately my vehicle has alternator and wont start every time I drive.,Battery and Charging Fault,P0620,Electrical
C206,There is an issue with alternator and clicking noise,Battery and Charging Fault,P0620,Electrical
C207,I am worried about alternator and power loss electrical after it rains.,Battery and Charging Fault,P0620,Electrical
C208,Seems like alternator and battery light during long trips.,Battery and Charging Fault,P0620,Electrical
C209,Hearing some noises regarding charge and battery at low speeds.,Battery and Charging Fault,P0620,Electrical
C210,Just started noticing charge and alternator when braking.,Battery and Charging Fault,P0620,Electrical
C211,Driving feels bad due to charge and dead when accelerating.,Battery and Charging Fault,P0620,Electrical
C212,Can someone check the charge and crank in cold weather.,Battery and Charging Fault,P0620,Electrical
C213,I have a problem with charge and jump start while driving.,Battery and Charging Fault,P0620,Electrical
C214,My car has charge and terminals when I start the car.,Battery and Charging Fault,P0620,Electrical
C215,Experiencing charge and voltage on the highway.,Battery and Charging Fault,P0620,Electrical
C216,Noticed that charge and electrical in the morning.,Battery and Charging Fault,P0620,Electrical
C217,The mechanic said charge and dim lights recently.,Battery and Charging Fault,P0620,Electrical
C218,Dashboard shows charge and wont start and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C219,Warning light for charge and clicking noise which is dangerous.,Battery and Charging Fault,P0620,Electrical
C220,Lately my vehicle has charge and power loss electrical every time I drive.,Battery and Charging Fault,P0620,Electrical
C221,There is an issue with charge and battery light,Battery and Charging Fault,P0620,Electrical
C222,I am worried about dead and battery after it rains.,Battery and Charging Fault,P0620,Electrical
C223,Seems like dead and alternator during long trips.,Battery and Charging Fault,P0620,Electrical
C224,Hearing some noises regarding dead and charge at low speeds.,Battery and Charging Fault,P0620,Electrical
C225,Just started noticing dead and crank when braking.,Battery and Charging Fault,P0620,Electrical
C226,Driving feels bad due to dead and jump start when accelerating.,Battery and Charging Fault,P0620,Electrical
C227,Can someone check the dead and terminals in cold weather.,Battery and Charging Fault,P0620,Electrical
C228,I have a problem with dead and voltage while driving.,Battery and Charging Fault,P0620,Electrical
C229,My car has dead and electrical when I start the car.,Battery and Charging Fault,P0620,Electrical
C230,Experiencing dead and dim lights on the highway.,Battery and Charging Fault,P0620,Electrical
C231,Noticed that dead and wont start in the morning.,Battery and Charging Fault,P0620,Electrical
C232,The mechanic said dead and clicking noise recently.,Battery and Charging Fault,P0620,Electrical
C233,Dashboard shows dead and power loss electrical and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C234,Warning light for dead and battery light which is dangerous.,Battery and Charging Fault,P0620,Electrical
C235,Lately my vehicle has crank and battery every time I drive.,Battery and Charging Fault,P0620,Electrical
C236,There is an issue with crank and alternator,Battery and Charging Fault,P0620,Electrical
C237,I am worried about crank and charge after it rains.,Battery and Charging Fault,P0620,Electrical
C238,Seems like crank and dead during long trips.,Battery and Charging Fault,P0620,Electrical
C239,Hearing some noises regarding crank and jump start at low speeds.,Battery and Charging Fault,P0620,Electrical
C240,Just started noticing crank and terminals when braking.,Battery and Charging Fault,P0620,Electrical
C241,Driving feels bad due to crank and voltage when accelerating.,Battery and Charging Fault,P0620,Electrical
C242,Can someone check the crank and electrical in cold weather.,Battery and Charging Fault,P0620,Electrical
C243,I have a problem with crank and dim lights while driving.,Battery and Charging Fault,P0620,Electrical
C244,My car has crank and wont start when I start the car.,Battery and Charging Fault,P0620,Electrical
C245,Experiencing crank and clicking noise on the highway.,Battery and Charging Fault,P0620,Electrical
C246,Noticed that crank and power loss electrical in the morning.,Battery and Charging Fault,P0620,Electrical
C247,The mechanic said crank and battery light recently.,Battery and Charging Fault,P0620,Electrical
C248,Dashboard shows jump start and battery and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C249,Warning light for jump start and alternator which is dangerous.,Battery and Charging Fault,P0620,Electrical
C250,Lately my vehicle has jump start and charge every time I drive.,Battery and Charging Fault,P0620,Electrical
C251,There is an issue with jump start and dead,Battery and Charging Fault,P0620,Electrical
C252,I am worried about jump start and crank after it rains.,Battery and Charging Fault,P0620,Electrical
C253,Seems like jump start and terminals during long trips.,Battery and Charging Fault,P0620,Electrical
C254,Hearing some noises regarding jump start and voltage at low speeds.,Battery and Charging Fault,P0620,Electrical
C255,Just started noticing jump start and electrical when braking.,Battery and Charging Fault,P0620,Electrical
C256,Driving feels bad due to jump start and dim lights when accelerating.,Battery and Charging Fault,P0620,Electrical
C257,Can someone check the jump start and wont start in cold weather.,Battery and Charging Fault,P0620,Electrical
C258,I have a problem with jump start and clicking noise while driving.,Battery and Charging Fault,P0620,Electrical
C259,My car has jump start and power loss electrical when I start the car.,Battery and Charging Fault,P0620,Electrical
C260,Experiencing jump start and battery light on the highway.,Battery and Charging Fault,P0620,Electrical
C261,Noticed that terminals and battery in the morning.,Battery and Charging Fault,P0620,Electrical
C262,The mechanic said terminals and alternator recently.,Battery and Charging Fault,P0620,Electrical
C263,Dashboard shows terminals and charge and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C264,Warning light for terminals and dead which is dangerous.,Battery and Charging Fault,P0620,Electrical
C265,Lately my vehicle has terminals and crank every time I drive.,Battery and Charging Fault,P0620,Electrical
C266,There is an issue with terminals and jump start,Battery and Charging Fault,P0620,Electrical
C267,I am worried about terminals and voltage after it rains.,Battery and Charging Fault,P0620,Electrical
C268,Seems like terminals and electrical during long trips.,Battery and Charging Fault,P0620,Electrical
C269,Hearing some noises regarding terminals and dim lights at low speeds.,Battery and Charging Fault,P0620,Electrical
C270,Just started noticing terminals and wont start when braking.,Battery and Charging Fault,P0620,Electrical
C271,Driving feels bad due to terminals and clicking noise when accelerating.,Battery and Charging Fault,P0620,Electrical
C272,Can someone check the terminals and power loss electrical in cold weather.,Battery and Charging Fault,P0620,Electrical
C273,I have a problem with terminals and battery light while driving.,Battery and Charging Fault,P0620,Electrical
C274,My car has voltage and battery when I start the car.,Battery and Charging Fault,P0620,Electrical
C275,Experiencing voltage and alternator on the highway.,Battery and Charging Fault,P0620,Electrical
C276,Noticed that voltage and charge in the morning.,Battery and Charging Fault,P0620,Electrical
C277,The mechanic said voltage and dead recently.,Battery and Charging Fault,P0620,Electrical
C278,Dashboard shows voltage and crank and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C279,Warning light for voltage and jump start which is dangerous.,Battery and Charging Fault,P0620,Electrical
C280,Lately my vehicle has voltage and terminals every time I drive.,Battery and Charging Fault,P0620,Electrical
C281,There is an issue with voltage and electrical,Battery and Charging Fault,P0620,Electrical
C282,I am worried about voltage and dim lights after it rains.,Battery and Charging Fault,P0620,Electrical
C283,Seems like voltage and wont start during long trips.,Battery and Charging Fault,P0620,Electrical
C284,Hearing some noises regarding voltage and clicking noise at low speeds.,Battery and Charging Fault,P0620,Electrical
C285,Just started noticing voltage and power loss electrical when braking.,Battery and Charging Fault,P0620,Electrical
C286,Driving feels bad due to voltage and battery light when accelerating.,Battery and Charging Fault,P0620,Electrical
C287,Can someone check the electrical and battery in cold weather.,Battery and Charging Fault,P0620,Electrical
C288,I have a problem with electrical and alternator while driving.,Battery and Charging Fault,P0620,Electrical
C289,My car has electrical and charge when I start the car.,Battery and Charging Fault,P0620,Electrical
C290,Experiencing electrical and dead on the highway.,Battery and Charging Fault,P0620,Electrical
C291,Noticed that electrical and crank in the morning.,Battery and Charging Fault,P0620,Electrical
C292,The mechanic said electrical and jump start recently.,Battery and Charging Fault,P0620,Electrical
C293,Dashboard shows electrical and terminals and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C294,Warning light for electrical and voltage which is dangerous.,Battery and Charging Fault,P0620,Electrical
C295,Lately my vehicle has electrical and dim lights every time I drive.,Battery and Charging Fault,P0620,Electrical
C296,There is an issue with electrical and wont start,Battery and Charging Fault,P0620,Electrical
C297,I am worried about electrical and clicking noise after it rains.,Battery and Charging Fault,P0620,Electrical
C298,Seems like electrical and power loss electrical during long trips.,Battery and Charging Fault,P0620,Electrical
C299,Hearing some noises regarding electrical and battery light at low speeds.,Battery and Charging Fault,P0620,Electrical
C300,Just started noticing dim lights and battery when braking.,Battery and Charging Fault,P0620,Electrical
C301,Driving feels bad due to dim lights and alternator when accelerating.,Battery and Charging Fault,P0620,Electrical
C302,Can someone check the dim lights and charge in cold weather.,Battery and Charging Fault,P0620,Electrical
C303,I have a problem with dim lights and dead while driving.,Battery and Charging Fault,P0620,Electrical
C304,My car has dim lights and crank when I start the car.,Battery and Charging Fault,P0620,Electrical
C305,Experiencing dim lights and jump start on the highway.,Battery and Charging Fault,P0620,Electrical
C306,Noticed that dim lights and terminals in the morning.,Battery and Charging Fault,P0620,Electrical
C307,The mechanic said dim lights and voltage recently.,Battery and Charging Fault,P0620,Electrical
C308,Dashboard shows dim lights and electrical and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C309,Warning light for dim lights and wont start which is dangerous.,Battery and Charging Fault,P0620,Electrical
C310,Lately my vehicle has dim lights and clicking noise every time I drive.,Battery and Charging Fault,P0620,Electrical
C311,There is an issue with dim lights and power loss electrical,Battery and Charging Fault,P0620,Electrical
C312,I am worried about dim lights and battery light after it rains.,Battery and Charging Fault,P0620,Electrical
C313,Seems like wont start and battery during long trips.,Battery and Charging Fault,P0620,Electrical
C314,Hearing some noises regarding wont start and alternator at low speeds.,Battery and Charging Fault,P0620,Electrical
C315,Just started noticing wont start and charge when braking.,Battery and Charging Fault,P0620,Electrical
C316,Driving feels bad due to wont start and dead when accelerating.,Battery and Charging Fault,P0620,Electrical
C317,Can someone check the wont start and crank in cold weather.,Battery and Charging Fault,P0620,Electrical
C318,I have a problem with wont start and jump start while driving.,Battery and Charging Fault,P0620,Electrical
C319,My car has wont start and terminals when I start the car.,Battery and Charging Fault,P0620,Electrical
C320,Experiencing wont start and voltage on the highway.,Battery and Charging Fault,P0620,Electrical
C321,Noticed that wont start and electrical in the morning.,Battery and Charging Fault,P0620,Electrical
C322,The mechanic said wont start and dim lights recently.,Battery and Charging Fault,P0620,Electrical
C323,Dashboard shows wont start and clicking noise and it is getting worse.,Battery and Charging Fault,P0620,Electrical
C324,Warning light for wont start and power loss electrical which is dangerous.,Battery and Charging Fault,P0620,Electrical
C325,Lately my vehicle has wont start and battery light every time I drive.,Battery and Charging Fault,P0620,Electrical
C326,There is an issue with clicking noise and battery,Battery and Charging Fault,P0620,Electrical
C327,I am worried about clicking noise and alternator after it rains.,Battery and Charging Fault,P0620,Electrical
